Forb richness - Medium quality 2 (Canopy),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
15,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),25,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,3,9,5,95,3,9,,,3,9
20,2,9,4,95,2,9,,,2,9
40,1,8,2,90,1,8,,,1,8
60,0.5,7,1,80,0,8,,,0,8
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,3,9,5,95,3,9,,,3,9
20,2,9,5.5,95,2,9,,,2,9
40,2,10,6,90,2,10,,,2,10
60,1,10,6.5,80,0,10,,,0,10
Comment (optional),small increase in response to some weed control,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,3,9,5,100,3,9,,,3,9
20,5,11,8,95,5,11,,,5,11
40,7,12,10,90,7,12,,,7,12
60,9,15,12,80,9,15,,,9,15
Comment (optional),larger increase with high intensity management,,,,,,,,,
