Tree cover - Medium quality 2 (Canopy),,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),65,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,10,65,40,95,12,64,,,12,64
20,20,65,40,65,12,65,,,12,75
40,20,70,40,55,7,65,,,7,89
60,20,70,40,50,4,65,,,4,94
Comment (optional),As for TG Low,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,10,65,40,95,12,64,,,12,64
20,20,65,50,65,8,65,,,8,71
40,25,70,50,55,9,65,,,9,83
60,30,70,60,50,6,65,,,6,78
Comment (optional),As for TG Low,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,10,65,40,95,12,64,,,12,64
20,20,65,50,65,8,65,,,8,71
40,25,70,50,55,9,65,,,9,83
60,30,70,60,50,6,65,,,6,78
Comment (optional),As for TG Low,,,,,,,,,
